City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,arkhangel'sk,64.5401,40.5433,32.11,93,100,22.37,RU,1732555889
301,tofol,5.3248,163.0078,84.2,74,99,18.48,FM,1732555890
302,rey bouba,8.6724,14.1786,79.77,21,5,2.64,CM,1732555891
303,seoni malwa,22.45,77.4667,62.85,48,7,6.44,IN,1732555893
304,yelabuga,55.7613,52.0649,27.95,67,100,2.62,RU,1732555894
305,nova xavantina,-14.6667,-52.35,81.41,80,77,3.94,BR,1732555895
306,westport,41.1415,-73.3579,52.16,45,0,12.66,US,1732555896
307,laayoune,27.1622,-13.2032,77.34,69,1,8.05,EH,1732555898
308,sabha,27.0377,14.4283,58.32,45,2,8.68,LY,1732555899
309,sao felix do xingu,-6.6447,-51.995,93.16,42,90,0.63,BR,1732555900
310,nichinan,31.6,131.3667,62.53,74,89,4.61,JP,1732555901
311,nchelenge,-9.3451,28.734,73.08,79,24,6.69,ZM,1732555902
312,ola,59.5833,151.2833,2.07,71,79,12.75,RU,1732555904
313,pyhajarvi,67.0701,27.2176,35.29,92,100,9.51,FI,1732555905
314,motueka,-41.1333,173.0167,59.29,82,11,5.55,NZ,1732555907
315,tsiombe,-25.3,45.4833,76.03,89,99,14.99,MG,1732555909
316,balnearia,-31.0088,-62.6673,77.0,84,100,5.64,AR,1732555910
317,mancio lima,-7.6142,-72.8958,87.87,62,75,4.61,BR,1732555911
318,sisimiut,66.9395,-53.6735,31.6,86,100,31.63,GL,1732555914
319,ha tinh,18.3333,105.9,72.73,94,96,4.36,VN,1732555915
320,macas,-2.3167,-78.1167,80.35,57,75,6.91,EC,1732555750
321,ar rahad,12.7167,30.65,76.06,20,4,10.67,SD,1732555917
322,kununurra,-15.7667,128.7333,78.78,94,34,4.61,AU,1732555918
323,nguigmi,14.2495,13.1092,76.71,22,8,12.55,NE,1732555920
324,aykhal,66.0,111.5,-7.89,96,100,34.0,RU,1732555921
325,hobyo,5.3505,48.5268,80.58,78,54,14.2,SO,1732555922
326,devarkonda,16.7,78.9333,67.1,68,100,3.4,IN,1732555923
327,starominskaya,46.53,39.0497,35.42,94,100,12.06,RU,1732555925
328,kyren,51.6828,102.1408,15.24,88,100,0.11,RU,1732555926
329,korla,41.7597,86.1469,32.56,51,83,9.28,CN,1732555927
330,padang,-0.9492,100.3543,80.65,81,100,4.23,ID,1732555928
331,mariinsk,56.2139,87.7472,22.21,89,85,9.06,RU,1732555929
332,ouallam,14.3188,2.0866,82.99,12,1,10.38,NE,1732555931
333,luderitz,-26.6481,15.1594,61.59,79,1,16.4,NA,1732555932
334,inari,68.906,27.0288,22.98,86,68,6.71,FI,1732555933
335,udachny,66.4167,112.4,-3.55,96,100,27.94,RU,1732555934
336,acacias,3.987,-73.758,83.75,67,74,5.37,CO,1732555936
337,valparaiso,-33.0393,-71.6273,76.64,45,0,9.22,CL,1732555937
338,cockburn town,21.4612,-71.1419,78.76,89,75,11.5,TC,1732555938
339,dapa,9.7594,126.0531,80.4,85,14,8.68,PH,1732555939
340,kannangad,12.3081,75.1063,76.15,80,84,4.32,IN,1732555940
341,hinton,53.4001,-117.5857,15.33,84,100,1.52,CA,1732555942
342,ivdel',60.6911,60.4206,24.08,97,100,1.59,RU,1732555943
343,broome,42.2506,-75.833,47.66,64,0,1.99,US,1732555944
344,tralee,52.2704,-9.7026,43.05,100,75,2.3,IE,1732555945
345,prince rupert,54.3161,-130.3201,33.49,60,22,16.11,CA,1732555947
346,nemuro,43.3236,145.575,35.04,72,41,13.33,JP,1732555948
347,okhotsk,59.3833,143.3,6.33,71,0,12.75,RU,1732555949
348,magadan,59.5667,150.8,5.81,61,75,11.97,RU,1732555950
349,bathsheba,13.2167,-59.5167,86.61,79,75,18.41,BB,1732555951
350,vadso,70.0744,29.7487,32.52,83,84,21.74,NO,1732555953
351,cozumel,20.5083,-86.9458,82.47,69,40,4.61,MX,1732555954
352,pisco,-13.7,-76.2167,73.45,68,0,10.36,PE,1732555955
353,beledweyne,4.7358,45.2036,88.88,39,61,12.91,SO,1732555956
354,sogndal,61.2283,7.1003,39.58,100,75,2.3,NO,1732555958
355,visby,57.6409,18.296,52.03,71,0,21.85,SE,1732555959
356,rudbar,30.15,62.6,65.1,30,40,0.72,AF,1732555960
357,anloga,5.7947,0.8973,83.37,68,51,10.56,GH,1732555961
358,antsirabe,-19.85,47.0333,63.54,91,99,1.92,MG,1732555963
359,lerwick,60.1545,-1.1494,46.98,86,100,15.41,GB,1732555964
360,ceerigaabo,10.6162,47.368,65.25,71,57,0.89,SO,1732555965
361,sur,22.5667,59.5289,77.32,66,15,4.85,OM,1732555966
362,vila velha,-20.3297,-40.2925,78.75,69,40,11.5,BR,1732555967
